"","DEPREG","MUPREG","MESREG","AÑOREG","AÑOOCU","CLAUNI","NUNUHO","NUNUMU","EDADHOM","EDADMUJ","PUEHOM","PUEMUJ","NACHOM","NACMUJ","ESCHOM","ESCMUJ","CIUOHOM","CIUOMUJ","DEPOCU","MUPOCU","DIAOCU","MESOCU"
"1",1,"0101",2,2021,2020,3,9,9,33,33,4,4,320,320,4,4,1,1,1,"0115",20,12
"2",1,"0101",4,2021,2020,3,9,9,30,31,9,4,320,320,4,4,1,1,1,"0116",20,12
"3",1,"0101",3,2021,2020,2,9,9,37,34,4,9,320,862,1,9,97,11,1,"0101",26,9
"4",1,"0101",8,2020,2020,3,9,9,27,34,4,4,320,320,4,5,97,12,1,"0101",14,3
"5",1,"0101",8,2020,2020,3,9,9,54,47,4,4,320,320,3,5,97,12,1,"0101",6,8
"6",1,"0101",12,2020,2020,3,9,9,54,39,4,5,320,170,5,5,97,12,1,"0101",29,2
"7",1,"0115",2,2020,2020,3,9,9,29,42,4,4,320,320,4,9,97,12,1,"0102",11,1
"8",1,"0115",12,2020,2020,3,9,9,41,38,4,4,320,320,4,5,97,12,1,"0115",9,8
"9",3,"0301",3,2020,2020,1,1,9,42,35,9,4,840,320,9,5,97,12,3,"0301",7,3
"10",9,"0914",11,2020,2020,3,9,9,28,33,4,9,320,320,4,9,97,12,9,"0901",7,11
"11",12,"1202",12,2020,2020,3,1,1,30,30,5,4,320,320,3,5,97,12,12,"1202",27,11
"12",12,"1219",1,2021,2020,3,1,1,27,25,4,4,320,320,4,5,97,12,12,"1219",19,12
"13",20,"2009",8,2020,2020,3,9,9,36,34,5,4,320,320,4,5,71,12,20,"2009",22,7
"14",1,"0101",3,2021,2020,3,9,9,33,26,4,9,320,862,4,9,52,12,1,"0101",3,12
"15",1,"0108",2,2020,2020,3,9,9,38,41,4,4,320,320,4,5,52,12,1,"0108",11,2
"16",4,"0401",3,2020,2020,3,9,9,46,37,4,4,320,320,5,5,52,12,4,"0401",2,3
"17",16,"1609",6,2020,2020,3,9,9,39,33,4,1,320,320,4,5,52,12,16,"1609",29,5
"18",17,"1701",12,2020,2020,2,2,1,50,40,4,4,320,320,5,6,52,12,17,"1701",15,12
"19",1,"0102",3,2021,2020,3,1,1,37,42,4,4,320,320,4,5,43,12,1,"0101",14,11
"20",1,"0101",3,2020,2020,1,9,9,38,46,4,4,320,320,4,5,31,12,1,"0101",24,2
"21",1,"0106",3,2021,2020,3,1,1,30,28,4,4,320,320,4,5,31,12,1,"0101",28,11
"22",1,"0101",12,2020,2020,3,9,9,30,32,4,4,320,320,4,5,33,12,1,"0101",15,2
"23",1,"0101",1,2021,2020,1,9,9,43,36,4,4,320,320,4,5,33,12,1,"0101",1,12
"24",1,"0113",3,2020,2020,2,9,9,39,38,4,4,320,188,4,9,33,12,1,"0101",2,3
"25",3,"0309",12,2020,2020,3,9,9,31,27,4,4,320,320,4,5,31,12,3,"0309",28,11
"26",3,"0301",1,2021,2020,3,9,9,32,30,4,4,320,320,4,5,35,12,3,"0301",6,12
"27",4,"0401",10,2020,2020,3,9,9,63,35,4,4,320,320,4,9,33,12,4,"0401",18,10
"28",1,"0106",3,2021,2020,3,1,1,31,26,9,9,604,604,5,5,21,12,1,"0101",14,11
"29",1,"0101",6,2021,2020,2,9,9,50,52,4,4,320,320,5,5,21,12,1,"0101",29,11
"30",1,"0101",1,2021,2020,3,9,9,43,40,4,4,222,320,5,9,21,12,1,"0103",10,12
"31",1,"0101",9,2020,2020,3,9,9,34,39,9,4,720,320,9,9,21,12,1,"0108",27,6
"32",1,"0101",5,2020,2020,3,9,9,59,41,4,4,320,320,5,5,21,12,1,"0108",9,5
"33",1,"0101",7,2020,2020,3,9,9,38,29,4,4,320,320,9,5,21,12,1,"0115",4,7
"34",1,"0101",7,2020,2020,3,9,9,55,45,4,4,320,320,5,5,24,12,1,"0101",25,1
"35",1,"0101",7,2020,2020,1,9,9,33,32,4,4,320,320,5,5,25,12,1,"0101",15,2
"36",1,"0101",3,2021,2020,3,9,9,44,42,4,4,320,320,5,5,25,12,1,"0108",18,1
"37",1,"0101",2,2021,2020,2,9,9,28,29,4,4,320,320,5,5,26,12,1,"0101",28,11
"38",5,"0501",11,2020,2020,3,9,9,43,37,9,4,320,320,5,5,24,12,5,"0501",21,11
"39",1,"0101",1,2020,2020,1,9,9,31,31,4,4,320,320,5,5,12,12,1,"0101",3,1
"40",1,"0101",12,2020,2020,1,9,9,36,37,4,4,320,320,5,5,12,12,7,"0719",4,4
"41",1,"0101",6,2021,2020,3,9,9,26,29,4,4,320,320,9,5,35,14,1,"0102",13,12
"42",1,"0101",5,2021,2020,3,9,9,34,30,4,4,320,320,4,9,97,21,1,"0101",14,11
"43",1,"0106",2,2021,2020,3,1,1,37,38,4,4,320,320,4,9,97,21,1,"0101",21,11
